max_visitors,avg_visitors,count_visitors,weekend_visitors,sum_visitors
36,14,3,86,43
54,34,6,408,204
14,9,6,110,55
41,28,7,404,202
32,17,7,240,120
31,19,7,272,136
27,19,6,238,119
41,28,7,398,199
18,12,7,172,86
20,9,5,92,46
47,40,3,242,121
17,11,5,112,56
8,5,2,22,11
14,6,6,76,38
29,15,6,182,91
48,37,5,370,185
24,20,21,840,420
21,12,6,148,74
46,32,7,452,226
107,40,7,566,283
8,2,6,30,15
31,20,7,284,142
69,37,11,828,414
9,7,5,72,36
18,12,7,168,84
52,14,6,174,87
30,20,7,292,146
58,23,7,334,167
16,8,7,112,56
22,14,5,144,72
39,19,7,272,136
46,25,6,308,154
101,58,7,812,406
56,31,7,442,221
35,19,6,232,116
63,42,6,504,252
41,29,7,418,209
31,19,7,272,136
53,39,5,394,197
42,24,6,298,149
30,21,7,294,147
2,1,5,12,6
47,26,6,312,156
7,2,5,28,14
44,17,6,210,105
28,20,6,248,124
65,40,6,486,243
31,24,6,288,144
26,12,7,172,86
13,9,5,94,47
45,31,8,508,254
29,12,5,122,61
13,9,7,128,64
21,13,6,166,83
104,55,7,774,387
12,5,6,70,35
27,18,5,182,91
20,15,4,122,61
67,33,6,400,200
12,9,6,116,58
39,14,7,198,99
16,13,6,156,78
10,4,7,66,33
28,13,7,192,96
22,10,7,148,74
32,25,6,304,152
24,20,3,122,61
59,40,15,1226,613
77,33,7,474,237
39,24,7,340,170
15,12,5,122,61
50,33,8,540,270
9,6,6,74,37
32,16,7,230,115
37,25,8,414,207
41,23,7,334,167
20,9,6,112,56
38,25,6,302,151
62,36,5,368,184
59,27,6,326,163
48,31,7,440,220
36,27,7,390,195
65,49,6,590,295
55,36,6,432,216
50,24,7,338,169
100,67,5,678,339
12,6,7,84,42
48,36,7,508,254
98,33,7,474,237
65,44,6,538,269
43,18,7,258,129
39,23,6,282,141
46,36,6,432,216
35,13,14,368,184
42,22,6,266,133
66,26,7,374,187
34,21,7,306,153
31,17,6,208,104
26,21,6,254,127
21,11,4,94,47
57,29,6,350,175
45,18,7,264,132
26,11,6,136,68
20,10,7,140,70
33,20,12,498,249
29,23,7,328,164
20,11,6,134,67
13,7,7,108,54
56,39,7,558,279
28,16,7,236,118
15,8,7,114,57
25,16,13,434,217
23,9,6,118,59
17,7,7,106,53
61,29,6,358,179
22,15,6,184,92
32,28,6,338,169
58,23,5,234,117
88,34,7,488,244
28,13,6,164,82
20,13,6,156,78
28,18,7,256,128
16,7,5,76,38
6,3,6,42,21
37,31,7,438,219
10,5,7,78,39
26,17,6,204,102
51,37,50,3732,1866
50,39,6,470,235
6,3,7,46,23
83,52,6,628,314
52,15,7,210,105
107,32,12,780,390
23,18,16,582,291
21,15,3,94,47
35,22,6,264,132
21,12,7,168,84
24,9,7,126,63
118,54,5,540,270
123,53,7,746,373
42,31,7,434,217
15,8,6,100,50
14,7,5,78,39
17,11,5,110,55
34,27,19,1046,523
31,18,6,222,111
24,18,6,218,109
55,41,6,500,250
50,24,7,346,173
29,17,6,208,104
44,28,7,396,198
39,30,6,360,180
16,12,6,144,72
10,5,6,66,33
20,12,5,126,63
16,11,7,160,80
34,20,7,280,140
22,14,7,196,98
57,36,7,516,258
41,24,7,346,173
35,17,6,212,106
66,31,6,372,186
17,12,5,128,64
13,9,7,130,65
24,12,7,176,88
35,16,6,196,98
36,13,7,192,96
25,16,6,196,98
33,20,7,280,140
30,21,6,256,128
48,32,5,326,163
17,11,6,140,70
18,10,6,122,61
51,23,7,324,162
37,20,5,200,100
25,19,5,190,95
37,24,6,292,146
28,12,7,170,85
22,10,6,122,61
42,32,7,452,226
56,37,7,522,261
68,29,7,410,205
29,21,7,296,148
17,11,7,160,80
20,14,6,170,85
93,66,6,794,397
24,15,5,156,78
35,22,6,272,136
38,13,6,164,82
19,14,11,326,163
14,11,5,114,57
33,22,7,308,154
31,23,6,276,138
36,25,7,352,176
26,18,4,148,74
48,42,3,254,127
82,40,7,570,285
21,12,7,168,84
28,13,6,160,80
32,20,7,280,140
85,57,6,692,346
15,8,6,96,48
15,8,7,118,59
60,40,6,482,241
46,35,6,430,215
28,17,5,176,88
11,7,5,76,38
17,11,6,134,67
26,15,8,254,127
19,11,7,158,79
34,12,7,170,85
25,13,7,190,95
25,19,7,272,136
36,16,7,230,115
57,38,7,544,272
32,15,7,214,107
18,6,6,82,41
25,13,5,130,65
14,8,7,120,60
44,25,5,250,125
30,21,5,218,109
15,7,6,86,43
6,2,7,40,20
51,26,7,366,183
24,9,7,134,67
21,14,5,144,72
30,17,7,240,120
54,33,7,466,233
27,21,6,256,128
14,9,6,114,57
37,27,6,324,162
50,30,6,370,185
23,15,6,190,95
11,6,7,88,44
48,25,7,350,175
41,26,7,366,183
12,7,7,100,50
36,25,5,256,128
48,28,7,398,199
16,11,6,132,66
55,19,7,274,137
29,15,7,218,109
17,10,6,130,65
62,46,6,556,278
18,11,6,134,67
19,16,6,200,100
39,27,7,386,193
16,7,7,104,52
36,16,5,164,82
63,28,5,280,140
33,16,7,234,117
33,24,4,198,99
58,30,6,360,180
7,7,1,14,7
45,14,7,208,104
9,9,1,18,9
25,14,7,200,100
23,13,7,192,96
14,8,7,116,58
15,9,7,134,67
16,10,5,100,50
36,12,7,174,87
41,23,7,326,163
46,20,6,244,122
24,13,7,194,97
65,37,5,376,188
51,23,6,278,139
14,5,6,64,32
26,22,5,220,110
19,14,5,142,71
9,7,5,70,35
38,27,6,324,162
22,16,6,202,101
15,9,7,130,65
28,22,6,268,134
19,11,7,164,82
30,19,6,238,119
12,8,5,80,40
47,27,7,388,194
13,6,5,68,34
18,7,7,100,50
30,21,6,252,126
44,23,6,276,138
29,16,7,226,113
17,13,3,78,39
93,66,5,668,334
44,25,6,300,150
27,18,3,112,56
35,29,6,352,176
15,7,7,104,52
14,8,5,80,40
24,8,5,82,41
15,9,6,112,56
49,32,7,458,229
37,19,7,270,135
31,17,5,176,88
15,7,6,92,46
17,10,6,122,61
10,5,6,62,31
24,14,7,198,99
218,53,7,742,371
15,8,6,104,52
58,25,6,302,151
30,13,7,186,93
21,13,6,158,79
31,18,5,180,90
30,25,7,354,177
17,11,7,156,78
22,11,5,110,55
33,18,6,216,108
32,16,6,198,99
57,23,5,238,119
16,6,7,88,44
24,15,7,220,110
30,26,5,264,132
24,21,17,718,359
23,7,6,92,46
44,29,6,348,174
72,47,7,662,331
16,8,5,82,41
37,17,7,238,119
79,28,11,632,316
14,9,6,108,54
26,12,6,148,74
10,7,7,100,50
39,19,7,270,135
57,26,6,322,161
16,11,7,154,77
26,13,6,158,79
56,30,7,432,216
52,27,7,382,191
86,38,7,536,268
59,34,7,488,244
30,16,6,202,101
53,36,6,436,218
47,30,7,420,210
37,24,7,340,170
60,53,5,538,269
49,25,6,304,152
18,13,6,158,79
2,1,4,10,5
43,31,6,374,187
12,6,6,78,39
26,13,6,166,83
37,24,7,348,174
59,31,6,380,190
30,21,6,256,128
20,11,7,158,79
22,13,6,162,81
36,31,13,822,411
13,8,5,86,43
27,10,6,130,65
45,18,6,226,113
94,44,7,622,311
14,9,6,112,56
30,14,6,170,85
11,9,3,58,29
61,39,7,554,277
20,8,7,118,59
39,14,5,142,71
29,16,7,232,116
11,6,5,60,30
23,15,13,412,206
19,11,6,142,71
31,19,5,194,97
26,23,2,92,46
56,42,18,1518,759
60,33,6,400,200
35,24,6,290,145
19,13,6,156,78
44,29,8,466,233
10,5,6,64,32
48,14,7,198,99
42,18,9,332,166
34,24,7,342,171
16,9,6,114,57
39,22,6,266,133
54,30,6,364,182
35,25,7,350,175
39,26,7,372,186
33,29,6,348,174
57,42,6,512,256
52,39,6,476,238
29,15,6,188,94
93,52,5,528,264
12,5,6,64,32
40,28,7,394,197
69,35,6,420,210
66,52,6,628,314
31,20,7,288,144
42,20,6,240,120
49,34,6,414,207
17,13,13,340,170
35,23,7,324,162
74,28,7,398,199
57,26,7,364,182
52,27,6,324,162
30,20,6,250,125
18,10,4,82,41
62,34,6,418,209
65,24,7,338,169
21,12,6,148,74
22,12,7,170,85
48,38,16,1220,610
28,18,7,256,128
20,14,6,170,85
16,9,6,114,57
56,46,6,556,278
45,22,7,310,155
17,11,7,156,78
25,19,17,666,333
26,14,6,168,84
15,7,7,102,51
48,35,6,424,212
19,14,6,170,85
1,1,1,2,1
50,29,6,358,179
64,31,6,376,188
67,37,7,522,261
29,13,6,164,82
21,13,6,162,81
21,15,7,220,110
13,10,4,80,40
21,9,6,108,54
51,35,3,212,106
16,8,7,116,58
26,21,6,260,130
53,35,44,3156,1578
49,36,6,432,216
5,3,5,34,17
93,45,6,540,270
24,19,7,268,134
48,27,13,722,361
26,16,13,422,211
32,12,5,120,60
48,28,6,342,171
22,10,7,142,71
15,6,6,76,38
52,33,6,396,198
59,38,7,538,269
63,39,7,554,277
14,9,5,90,45
26,8,7,118,59
14,9,6,118,59
42,29,22,1300,650
26,18,6,218,109
40,21,7,294,147
53,45,6,540,270
48,30,7,422,211
22,12,5,122,61
54,35,7,494,247
44,26,7,374,187
27,10,7,148,74
12,5,6,68,34
15,9,6,112,56
16,7,7,108,54
35,14,7,204,102
19,10,7,144,72
56,38,7,534,267
46,24,7,342,171
26,12,6,154,77
49,25,6,308,154
21,11,7,166,83
16,10,7,150,75
31,18,7,254,127
25,17,6,210,105
24,11,7,156,78
22,12,5,128,64
69,22,7,316,158
29,24,6,296,148
42,18,7,256,128
26,16,7,226,113
16,11,6,132,66
27,20,7,288,144
40,21,3,126,63
28,19,5,194,97
45,25,6,306,153
17,9,7,126,63
9,7,6,88,44
52,37,7,522,261
72,34,7,478,239
64,29,7,416,208
34,17,7,242,121
19,12,7,178,89
25,12,6,144,72
69,51,6,622,311
23,16,5,164,82
41,23,6,284,142
33,18,6,222,111
21,17,9,310,155
18,9,6,108,54
27,21,6,256,128
41,21,6,258,129
25,18,7,262,131
59,23,6,278,139
42,30,6,360,180
64,41,7,580,290
20,12,9,232,116
43,15,6,180,90
47,24,7,348,174
71,57,6,694,347
15,10,7,144,72
10,7,7,98,49
73,39,6,470,235
39,33,6,404,202
20,15,5,152,76
17,9,6,114,57
15,9,6,118,59
42,19,10,388,194
22,13,7,192,96
49,16,7,224,112
40,14,6,176,88
25,19,7,274,137
18,10,7,142,71
65,33,7,468,234
19,11,7,166,83
23,11,6,134,67
16,12,6,144,72
14,7,6,86,43
38,27,7,388,194
49,22,6,270,135
7,6,4,48,24
5,2,6,32,16
47,29,7,418,209
20,11,6,142,71
26,15,6,184,92
29,22,6,268,134
38,30,7,430,215
26,18,6,226,113
15,12,6,148,74
3,3,1,6,3
30,23,6,280,140
39,30,5,302,151
19,16,6,192,96
13,9,5,94,47
35,21,6,260,130
40,23,7,322,161
20,11,6,142,71
109,53,5,530,265
48,23,7,322,161
14,8,5,84,42
70,28,6,342,171
21,16,7,228,114
26,10,6,126,63
68,48,6,586,293
18,11,7,164,82
21,15,5,154,77
40,22,7,320,160
12,6,7,86,43
34,22,5,228,114
25,14,6,170,85
37,21,6,252,126
35,26,5,264,132
51,26,6,318,159
1,1,2,4,2
25,13,7,184,92
6,5,2,20,10
32,15,7,212,106
21,12,6,148,74
14,8,7,124,62
19,14,7,200,100
15,9,6,112,56
14,11,5,116,58
32,22,7,308,154
43,26,7,372,186
18,13,7,192,96
48,18,6,226,113
43,33,7,472,236
15,8,6,96,48
26,17,6,208,104
34,16,6,192,96
12,8,6,102,51
51,34,6,412,206
20,16,7,230,115
13,10,6,120,60
37,25,6,300,150
25,13,5,136,68
35,19,6,228,114
14,5,6,68,34
50,23,7,326,163
13,7,5,76,38
22,11,7,164,82
25,19,6,230,115
514,98,6,1176,588
27,15,7,220,110
13,7,5,76,38
98,72,6,872,436
47,30,6,360,180
20,13,5,134,67
43,27,4,220,110
16,8,7,112,56
31,13,6,162,81
7,5,5,58,29
18,7,3,46,23
60,38,7,532,266
45,32,7,448,224
27,19,5,196,98
17,7,5,78,39
14,9,4,76,38
12,5,6,66,33
32,14,7,196,98
40,30,6,364,182
11,7,6,88,44
65,22,6,266,133
30,15,7,212,106
30,16,5,164,82
25,19,5,196,98
33,21,7,302,151
35,14,6,172,86
27,9,6,118,59
48,24,5,246,123
38,26,5,266,133
6,3,3,20,10
16,9,7,138,69
17,9,7,136,68
28,24,5,248,124
30,20,22,920,460
18,11,7,156,78
44,28,7,392,196
119,58,7,812,406
6,4,6,52,26
40,19,7,274,137
90,56,14,1594,797
19,12,15,374,187
29,14,6,176,88
26,12,7,172,86
35,18,7,254,127
50,33,7,464,232
21,13,7,194,97
19,13,6,164,82
62,24,7,338,169
49,14,7,206,103
39,16,7,230,115
67,35,6,422,211
21,16,3,98,49
64,45,7,634,317
33,24,7,348,174
38,19,7,274,137
59,46,5,462,231
34,19,6,228,114
39,21,7,296,148
2,1,3,8,4
32,22,6,270,135
16,9,7,132,66
48,24,6,290,145
42,24,6,290,145
49,28,7,404,202
31,21,6,260,130
19,9,7,134,67
21,9,6,116,58
33,26,7,372,186
20,9,7,132,66
23,14,6,178,89
50,15,6,180,90
121,51,7,718,359
17,6,6,82,41
25,14,5,146,73
56,37,2,148,74
44,32,5,322,161
15,9,7,126,63
70,27,6,326,163
20,12,6,146,73
12,8,6,100,50
23,12,6,150,75
16,8,7,118,59
25,18,6,222,111
27,17,3,106,53
78,52,23,2404,1202
36,27,6,324,162
39,26,7,364,182
20,15,5,154,77
48,34,9,620,310
11,6,6,78,39
31,15,7,216,108
25,14,12,356,178
32,21,7,296,148
13,7,7,100,50
26,23,6,280,140
57,35,6,420,210
42,35,7,490,245
41,34,7,480,240
42,31,6,376,188
60,48,6,584,292
56,40,6,488,244
43,26,6,314,157
93,42,5,428,214
2,2,1,4,2
15,6,6,76,38
42,25,7,360,180
61,34,6,416,208
67,50,6,608,304
31,19,7,270,135
35,18,6,218,109
51,41,6,502,251
14,9,14,272,136
36,22,7,320,160
38,24,6,294,147
44,25,7,356,178
50,31,7,436,218
38,24,6,298,149
18,8,6,102,51
55,31,6,382,191
59,24,7,344,172
47,23,6,284,142
23,12,7,174,87
38,22,14,626,313
33,25,7,356,178
20,14,6,168,84
18,12,6,144,72
80,38,7,540,270
48,24,7,344,172
13,7,6,84,42
28,18,9,330,165
22,11,6,134,67
12,7,7,98,49
57,36,6,442,221
37,21,6,252,126
20,12,5,120,60
40,33,6,396,198
65,36,5,364,182
60,29,7,412,206
3,2,3,14,7
30,16,6,202,101
19,13,7,182,91
14,9,5,98,49
13,7,6,88,44
42,33,6,398,199
13,8,7,112,56
26,14,6,170,85
54,36,46,3342,1671
54,37,6,448,224
10,5,7,76,38
74,52,6,626,313
32,14,7,206,103
37,24,9,436,218
25,15,12,374,187
23,9,6,118,59
29,22,5,220,110
16,13,6,166,83
27,13,7,194,97
65,33,6,398,199
63,40,7,572,286
47,29,7,408,204
13,8,6,102,51
18,9,7,132,66
19,14,5,148,74
33,25,21,1074,537
45,22,4,180,90
26,14,6,178,89
57,41,6,502,251
62,30,7,432,216
21,11,7,164,82
51,24,7,346,173
49,38,6,466,233
21,12,7,168,84
10,6,6,72,36
16,11,6,134,67
18,13,7,184,92
51,19,7,270,135
21,12,7,180,90
66,42,7,596,298
55,23,7,332,166
22,14,6,174,87
56,27,7,384,192
35,17,6,204,102
19,9,7,126,63
28,13,7,182,91
24,12,6,154,77
43,11,7,158,79
17,12,6,144,72
61,34,7,480,240
39,30,6,366,183
50,25,7,350,175
27,13,7,184,92
17,11,6,136,68
37,21,7,298,149
48,23,4,186,93
23,21,5,210,105
23,15,6,190,95
25,11,7,164,82
18,8,6,96,48
118,46,7,644,322
54,29,7,412,206
45,24,7,336,168
30,16,7,230,115
28,14,7,206,103
19,10,6,126,63
76,53,6,638,319
23,17,5,172,86
31,25,6,308,154
38,23,6,286,143
29,21,10,430,215
29,15,6,190,95
31,18,7,264,132
33,21,6,254,127
38,21,7,306,153
30,16,6,192,96
47,35,5,352,176
45,24,7,348,174
18,7,7,108,54
37,14,6,168,84
37,16,7,224,112
76,60,5,604,302
19,10,6,122,61
18,7,7,102,51
73,50,6,602,301
45,30,6,370,185
27,19,5,196,98
19,9,6,112,56
20,13,6,166,83
